Name,Category,City,Country,IG,URL,Última edición
Italic,"Branding, Packaging",Los Angeles,USA,https://www.instagram.com/italicstudio/,https://italic-studio.com/,29 de mayo de 2023 13:09
Old Friend,"Branding, Graphic Design",Portland,USA,https://www.instagram.com/oldfriend/,https://www.oldfriend.co/,29 de mayo de 2023 13:10
Johannes Iilahti,"Branding, Graphic Design, Packaging","Helsinki, Stockholm","Finland, Sweden",https://www.instagram.com/johannesiilahti/,https://johannesiilahti.com/,19 de enero de 2024 16:32
Studio Half Decent,"Branding, Packaging",Los Angeles,USA,https://www.instagram.com/studiohalfdecent/,https://halfdecent.studio/,29 de mayo de 2023 13:16
Estudio Blende,"Branding, Graphic Design",Montevideo,Uruguay,https://www.instagram.com/estudio.blende/,https://estudioblende.com/,29 de mayo de 2023 13:17
Asís,"Branding, Graphic Design",Buenos Aires,Argentina,https://www.instagram.com/weareasis.co/,https://weareasis.co/,29 de mayo de 2023 13:19
Jaemin Lee,Graphic Design,Seoul,South Korea,https://www.instagram.com/round.midnight/,https://leejaemin.net/,29 de mayo de 2023 13:20
Halvor Nordrum,"Branding, Graphic Design, Packaging",Oslo,Norway,https://www.instagram.com/halvornordrum/,https://www.halvor.cc/,29 de mayo de 2023 13:22
DutchScot,"Branding, Graphic Design",London,UK,https://www.instagram.com/dutchscot/,https://dutch.scot/,29 de mayo de 2023 13:23
Ludovic Balland,"Graphic Design, Typography",Basel,Switzerland,https://www.instagram.com/ludovic_balland/,http://www.ludovic-balland.com/,29 de mayo de 2023 13:25
How&How,Branding,"Lisbon, London, Los Angeles","Portugal, UK, USA",https://www.instagram.com/how___studio/,https://how.studio/,29 de mayo de 2023 13:26
Elizabeth Goodspeed,"Branding, Packaging",New York,USA,https://www.instagram.com/elizabeth_goodspeed/,http://elizabethgoodspeed.com/,29 de mayo de 2023 13:28
Glauber Sampaio,Graphic Design,Sao Paulo,Brazil,https://www.instagram.com/glauber.eth/,https://www.glaubersampaio.com/,29 de mayo de 2023 13:29
High Tide,"Branding, Packaging",New York,USA,https://www.instagram.com/hightideny/,https://hightidenyc.com/,29 de mayo de 2023 13:33
itm.graphics,Graphic Design,,USA,https://www.instagram.com/itm.graphics/,http://www.itm.graphics/,29 de mayo de 2023 13:34
Post-Spectacular Office,"Branding, Graphic Design",Thessaloniki,Greece,https://www.instagram.com/post_spectacular_office/,https://p-so.gr/,29 de mayo de 2023 13:36
Carlos Mayo,"Graphic Design, Interactive",Madrid,Spain,https://www.instagram.com/carlosmayo.info/,https://carlosmayo.info/,29 de mayo de 2023 13:37
Daniel Siim,Graphic Design,Copenhague,Denmark,https://www.instagram.com/studiodanielsiim/,https://danielsiim.dk/,29 de mayo de 2023 13:39
Emma Dragovic,"Branding, Graphic Design, Illustration, Interactive, Packaging",London,UK,https://www.instagram.com/emmadragovic/,https://emmadragovic.co.uk/,29 de mayo de 2023 17:02
Rolando Castillo,Graphic Design,Los Angeles,USA,https://www.instagram.com/rolandocastillodesign/,https://rolandocastillo.info/,29 de mayo de 2023 17:04
Nguyen Gobber,"Branding, Graphic Design, Interactive, Typography",Vienna,Austria,https://www.instagram.com/david.gobber/ https://www.instagram.com/t.m.hoangnguyen/,https://nguyengobber.com/,11 de junio de 2024 12:11
P – K,Graphic Design,"Los Angeles, Seoul","South Korea, USA",https://www.instagram.com/phillip.windly/,http://www.p-kim.info/,29 de mayo de 2023 17:09
Eric Hu studio,"Branding, Graphic Design, Typography",New York,USA,https://www.instagram.com/_erichu/,https://erichu.info/,29 de mayo de 2023 17:11
N-A-G-E-L,"Branding, Graphic Design, Interactive",Berlin,Germany,https://www.instagram.com/n__a__g__e__l/,https://www.n-a-g-e-l.de/,29 de mayo de 2023 17:13
Electric Brands Studio,Branding,Sydney,Australia,https://www.instagram.com/electricbrandsstudio/,https://electric-brands.com/,29 de mayo de 2023 17:14
Akatre,Graphic Design,Paris,France,https://www.instagram.com/akatrestudio/,https://www.akatre.com/,29 de mayo de 2023 17:15
Ward Heirwegh,Graphic Design,Antwerp,Belgium,https://www.instagram.com/studiowardheirwegh/,https://www.wardheirwegh.com/,29 de mayo de 2023 17:16
Studio Oliver Helfrich,"Branding, Graphic Design, Illustration",Amsterdam,The Netherlands,https://www.instagram.com/oliver_helfrich/,http://www.oliverhelfrich.com/,2 de junio de 2023 18:53
Gustavo Faria,Graphic Design,Sao Paulo,Brazil,https://www.instagram.com/gustavo.psd/,https://gustavo.work/,29 de mayo de 2023 17:22
Perron–Roettinger,"Branding, Graphic Design",Los Angeles,USA,https://www.instagram.com/perronroettinger/,https://p-r.studio/,29 de mayo de 2023 17:24
ELLA,Graphic Design,Los Angeles,USA,https://www.instagram.com/ellalosangeles/,https://ella-la.com/,29 de mayo de 2023 17:26
Specht Studio,Graphic Design,Antwerp,Belgium,https://www.instagram.com/spechtstudio/,https://stephaniespecht.com/,29 de mayo de 2023 17:27
Mast,Branding,Denver,USA,https://www.instagram.com/studiomastco/,https://studiomast.co/,29 de mayo de 2023 17:29
Studio8585,"Branding, Graphic Design",Zagreb,Serbia,https://www.instagram.com/studio8585/,https://www.studio8585.com/,29 de mayo de 2023 17:31
Studio Bergini,Graphic Design,London,UK,https://www.instagram.com/studiobergini/,https://studiobergini.eu/,29 de mayo de 2023 17:32
Jens Nilsson,"Branding, Graphic Design",Stockholm,Sweden,https://www.instagram.com/jensnilss.n/,https://www.jens-nilsson.com/,29 de mayo de 2023 17:33
Gabe Ferreira,"Graphic Design, Interactive",San Francisco,USA,https://www.instagram.com/studiogabeferreira/,http://www.gabeferreira.com/,29 de mayo de 2023 17:36
Autostrada Studios,"Graphic Design, Interactive",Berlin,Germany,https://www.instagram.com/autostrada.studio/?hl=de,https://www.autostrada.studio/,29 de mayo de 2023 17:38
Brada,"Branding, Graphic Design, Packaging",Queretaro,Mexico,https://www.instagram.com/brada.co/,https://brada.co/,29 de mayo de 2023 17:40
Ben Longden,"Graphic Design, Interactive",London,UK,https://www.instagram.com/benlongden/,https://benlongdendesign.co.uk/,29 de mayo de 2023 17:42
Herburg Weiland,Graphic Design,Munich,Germany,https://www.instagram.com/herburg_weiland/,https://herburg-weiland.de/,30 de mayo de 2023 19:39
Kendall Henderson,Graphic Design,New York,USA,https://www.instagram.com/hendersonkendall/,https://www.kendallhenderson.com/,29 de mayo de 2023 17:45
Ohlman Consorti,Graphic Design,Paris,France,https://www.instagram.com/ohlmanconsorti/,https://www.ohlmanconsorti.com/,29 de mayo de 2023 17:46
Homework,"Branding, Graphic Design, Packaging",Copenhague,Denmark,https://www.instagram.com/homework.dk/,https://homework.dk/,29 de mayo de 2023 17:50
Grafik,"Branding, Interactive",Wellington,New Zealand,https://www.instagram.com/grafik.nz/,https://grafik.co.nz/,29 de mayo de 2023 17:51
XXIX,"Branding, Interactive","Berlin, Chicago, New York","Germany, USA",https://www.instagram.com/xxix_co/,https://www.xxix.co/,29 de mayo de 2023 17:55
Facultative Works,Graphic Design,,Russia,https://www.instagram.com/facultative.works/,https://facultative.works/,29 de mayo de 2023 17:57
Both,"Branding, Graphic Design",Melbourne,Australia,https://www.instagram.com/both.studio/,https://both.studio/,29 de mayo de 2023 17:58
Hugmun,"Branding, Graphic Design, Illustration, Interactive, Packaging",Copenhague,Denmark,https://www.instagram.com/hugmun.studio/,https://hugmun.studio/,29 de mayo de 2023 18:04
Lex & Turner,Branding,Hasselt,Belgium,https://www.instagram.com/lexandturner/,https://www.lexandturner.be/,29 de mayo de 2023 18:06
Otherway,Branding,"London, San Francisco","UK, USA",https://www.instagram.com/otherwaystudio/,https://otherway.com/,29 de mayo de 2023 18:07
Another Collective,Branding,Porto,Portugal,https://www.instagram.com/another_collective/,https://anothercollective.pt/,29 de mayo de 2023 18:09
Javier López,"Branding, Graphic Design",Barcelona,Spain,https://www.instagram.com/_jlstudio_/,https://j-l.studio/,29 de mayo de 2023 18:11
Studio Berga,"Branding, Graphic Design, Interactive, Typography","Brussels, Lisbon","Belgium, Portugal",https://www.instagram.com/bernardo.berga/,https://bernardoberga.com/,29 de mayo de 2023 18:13
Elisabeth Kiviorg,"Branding, Graphic Design, Interactive, Packaging",Lisbon,Portugal,https://www.instagram.com/elisabethkiviorg_design/,https://elisabethkiviorg.com/,29 de mayo de 2023 18:15
Roger Schami,Graphic Design,Los Angeles,USA,https://www.instagram.com/rogerschami/,https://rogerschami.work/,29 de mayo de 2023 18:17
Daniel Brokstad,Graphic Design,New York,USA,https://www.instagram.com/danielbrokstad/,https://danielbrokstad.com/,29 de mayo de 2023 18:18
Qingyu Wu,"Graphic Design, Packaging","New York, ShangHai","China, USA",https://www.instagram.com/qingyuwu/,https://qingyuwu.com/,29 de mayo de 2023 18:21
TOMO TOMO,"Branding, Graphic Design",Milan,Italy,https://www.instagram.com/tomotomo.studio/,http://www.tomotomo.it/,30 de mayo de 2023 20:43
Matt Needle,Graphic Design,Cardiff,UK,https://www.instagram.com/needledesign/,https://www.mattneedle.co.uk/,29 de mayo de 2023 18:43
Universal Favourite,Branding,Sydney,Australia,https://www.instagram.com/universalfavourite/,https://universalfavourite.com.au/,29 de mayo de 2023 18:46
OrtnerSchinko,"Branding, Graphic Design",Linz,Austria,https://www.instagram.com/ortnerschinko/,https://ortnerschinko.com/,29 de mayo de 2023 18:48
Studio Bruch,"Branding, Graphic Design, Packaging",Graz,Austria,https://www.instagram.com/studiobruch/,https://studiobruch.com/,29 de mayo de 2023 18:49
Landscape,"Branding, Graphic Design",San Francisco,USA,https://www.instagram.com/thisislandscape/,https://thisislandscape.com/,29 de mayo de 2023 18:52
Love St.,"Branding, Graphic Design, Packaging",Lisbon,Portugal,https://www.instagram.com/love_st_studio/,https://lovestreetstudio.com/,29 de mayo de 2023 18:54
Marc Monguilod Studio,Graphic Design,Girona,Spain,https://www.instagram.com/marcmonguilod/,http://www.marcmonguilod.com/,29 de mayo de 2023 18:55
Zak Group,"Branding, Graphic Design, Packaging",London,UK,https://www.instagram.com/zakgroupoffice/,https://www.zak.group/,29 de mayo de 2023 18:56
Studio Hi Ho,"Branding, Graphic Design",Melbourne,Australia,https://www.instagram.com/studiohiho/,http://www.studiohiho.com/,29 de mayo de 2023 18:58
Pop & Pac,"Branding, Packaging",Melbourne,Australia,https://www.instagram.com/pop_and_pac/?hl=en,https://www.pop-pac.com/,29 de mayo de 2023 19:00
Bureau Antoine Roux,Graphic Design,"London, Paris","France, UK",https://www.instagram.com/_antoineroux/,https://bureauantoineroux.com/,29 de mayo de 2023 19:02
Marx,"Branding, Packaging",Auckland,New Zealand,https://www.instagram.com/marxdesign.co.nz/,https://marxdesign.co.nz/,29 de mayo de 2023 19:03
Danilo Rodrigues,"Branding, Interactive",Sao Paulo,Brazil,https://www.instagram.com/danrodrigues/,https://danilorodrigues.com/,30 de mayo de 2023 1:36
Studio Daniel Peter,"Graphic Design, Motion Graphics, Typography",Bern,Switzerland,https://www.instagram.com/herrpeterrrr/,https://herrpeter.ch/,30 de mayo de 2023 1:38
Bottex Elsensohn,"Graphic Design, Typography",Paris,France,https://www.instagram.com/bottexelsensohn/?hl=en,https://bottexelsensohn.com/,30 de mayo de 2023 1:42
Büro 146,Graphic Design,Zurich,Switzerland,https://www.instagram.com/buero146/,https://buero146.ch/,30 de mayo de 2023 1:42
Début Début,"Branding, Graphic Design, Interactive, Typography",Basel,Switzerland,https://www.instagram.com/studiodebutdebut/,https://www.debutdebut.com/,30 de mayo de 2023 1:44
Nolan Paparelli,"Graphic Design, Typography",Munich,Germany,https://www.instagram.com/nolan_paparelli/,https://www.nolan-paparelli.ch/,30 de mayo de 2023 19:39
NWB studio,Graphic Design,Paris,France,https://www.instagram.com/nwb_studio/,https://nwb-studio.com/,30 de mayo de 2023 1:46
Marisa Piñana,Graphic Design,London,UK,https://www.instagram.com/marisapinana/,https://marisapinana.com/,30 de mayo de 2023 1:47
What The Studio,"Branding, Graphic Design, Interactive",Amsterdam,The Netherlands,https://www.instagram.com/what_the_studio/,https://what-the.studio/,2 de junio de 2023 18:53
Look Look Studio,"Branding, Interactive, Packaging",Los Angeles,USA,https://www.instagram.com/looklookstudio/,https://www.looklookstudio.com/,30 de mayo de 2023 1:50
Cécile + Roger,Graphic Design,Genève,Switzerland,https://www.instagram.com/cecileetroger/,https://cecile-roger.com/,30 de mayo de 2023 1:51
Linus Lohoff,Graphic Design,Barcelona,Spain,https://www.instagram.com/linuslohoff/,https://cargocollective.com/linuslohoff,30 de mayo de 2023 1:53
Estudio Cariño,Branding,,Mexico,https://www.instagram.com/estudio_carino/,https://estudiocarino.com/,30 de mayo de 2023 1:54
Chaoqun Wang,Graphic Design,New York,USA,https://www.instagram.com/qunnie_w/,https://www.chaoqun-wang.work/,30 de mayo de 2023 1:56
Sabbath,Branding,Monterrey,Mexico,https://www.instagram.com/sabbath.office/,https://sabbath.mx/,30 de mayo de 2023 1:57
Montasser Drissi,"Graphic Design, Typography",Paris,France,https://www.instagram.com/montasserdrissi/,https://montasserdrissi.com/,30 de mayo de 2023 1:58
Chloe Scheffe,"Branding, Graphic Design",Seattle,USA,https://www.instagram.com/chloescheffe/,http://chloescheffe.github.io/index.html,30 de mayo de 2023 2:00
Violet Office,"Branding, Graphic Design, Interactive, Motion Graphics, Typography","Los Angeles, New York",USA,https://www.instagram.com/violetoffice/,https://violetoffice.com/,30 de mayo de 2023 2:02
Cul De Sac Studio,"Branding, Graphic Design, Interactive",Los Angeles,USA,https://www.instagram.com/cul_de_sac_studio/,https://culdesac.studio/,30 de mayo de 2023 2:03
Pedro Del Corro,Graphic Design,New York,USA,https://www.instagram.com/pdel.co/,https://p-del.co/,30 de mayo de 2023 2:05
Sunny Tianqing Li,Graphic Design,Santa Clara,USA,https://www.instagram.com/sunny.design/,http://www.sunnyli.design/,30 de mayo de 2023 2:07
George&Harrison,"Branding, Interactive",Eindhoven,The Netherlands,https://www.instagram.com/georgeandharrison.nl/,https://www.georgeandharrison.nl/,2 de junio de 2023 18:53
Aaron Lowell Denton,Graphic Design,Bloomington,USA,https://www.instagram.com/aaronlowell/,https://aaronlowelldenton.com/,30 de mayo de 2023 2:09
Firebelly,Branding,Chicago,USA,https://www.instagram.com/firebellydesign/,https://www.firebellydesign.com/,30 de mayo de 2023 2:11
Futur Neue,"Graphic Design, Typography",Genève,Switzerland,https://www.instagram.com/futurneue/,http://www.futurneue.cc/,30 de mayo de 2023 2:12
Elvis Benicio,Graphic Design,San Francisco,USA,https://www.instagram.com/elvisbenicio/,http://elvisbenicio.com.br/,30 de mayo de 2023 2:14
Sometimes Always,Graphic Design,Berlin,Germany,https://www.instagram.com/sometimes__always/,https://sometimes-always.com/,30 de mayo de 2023 2:19
Kinoto Studio,"Branding, Interactive, Packaging",Buenos Aires,Argentina,https://www.instagram.com/kinoto_studio/,https://kinotostudio.com/,30 de mayo de 2023 2:21
Break Maiden,"Branding, Illustration, Packaging",St. Petersburg,USA,https://www.instagram.com/breakmaiden/,https://www.breakmaiden.co/,30 de mayo de 2023 2:22
Re,Branding,Sydney,Australia,https://www.instagram.com/re.design.global/,https://www.re.design/,30 de mayo de 2023 2:25
Glasfurd & Walker,Branding,Vancouver,Canada,https://www.instagram.com/glasfurdwalker/,https://glasfurdandwalker.com/,30 de mayo de 2023 2:27
Simon Langlois,Branding,Montreal,Canada,https://www.instagram.com/simonlanglois.work/,https://www.simonlanglois.work/,11 de junio de 2024 12:06
Practice Theory,Branding,"Geylang, Ho Chi Minh City","Singapore, Vietnam",https://www.instagram.com/practice.theory/,https://practicetheory.com.sg/,30 de mayo de 2023 2:32
Ordinary People,Graphic Design,"New York, Seoul","South Korea, USA",https://www.instagram.com/ordinarypeople.info/,https://ordinarypeople.info/,30 de mayo de 2023 2:41
unfun,Graphic Design,"Berlin, New York","Germany, USA",https://www.instagram.com/unfun_studio/,https://unfun.de/,30 de mayo de 2023 2:43
Team Studio,Branding,Portland,USA,https://www.instagram.com/weareteamstudio/,https://weareteamstudio.com/,30 de mayo de 2023 2:44
order,"Branding, Graphic Design, Typography",New York,USA,https://www.instagram.com/order.design.nyc/,https://order.design/,30 de mayo de 2023 2:46
Formo,Graphic Design,Valencia,Spain,https://www.instagram.com/antonioballesteros_formo/,https://www.formo.org/,30 de mayo de 2023 2:49
Carles Rodrigo,"Branding, Graphic Design",Valencia,Spain,https://www.instagram.com/carlesrodrigo/,https://carlesrodrigo.es/,30 de mayo de 2023 2:50
Poulsen Projects,Branding,"Copenhague, New York","Denmark, USA",https://www.instagram.com/poulsenprojects/,https://www.poulsenprojects.com/,30 de mayo de 2023 2:52
AG Design Agency,Branding,Athens,Greece,https://www.instagram.com/agdesignagency/,https://agdesignagency.com/,30 de mayo de 2023 2:53
Rudmer van Hulzen,Graphic Design,Groningen,The Netherlands,https://www.instagram.com/rudmervanhulzen/,https://rudmervanhulzen.com/,2 de junio de 2023 18:53
Margot Lévêque,"Graphic Design, Typography",New York,USA,https://www.instagram.com/margot.leveque/,https://margotleveque.com/,30 de mayo de 2023 3:01
Sergio Martínez Office,,,Mexico,,https://sergio-martinez.com/,30 de mayo de 2023 3:02
Studio Ghazaal Vojdani,Graphic Design,Paris,France,https://www.instagram.com/studio.ghazaalvojdani,https://studio.ghazaalvojdani.com/,30 de mayo de 2023 3:05
The New Company,"Branding, Graphic Design","Los Angeles, San Francisco",USA,https://www.instagram.com/thenewcompany/,https://www.thenewcompany.com/,30 de mayo de 2023 3:06
Nizar Kazan + Co,"Branding, Graphic Design",Orbe,Switzerland,https://www.instagram.com/nizarkazanco/,https://www.nizarkazan.ch/,30 de mayo de 2023 3:10
Marek Nedelka,"Branding, Graphic Design",New York,USA,https://www.instagram.com/marek_nedelka/,http://www.mareknedelka.com/,30 de mayo de 2023 3:13
Rita Matos,Branding,New York,USA,https://www.instagram.com/aritamatos/,https://www.ritamatos.com/,30 de mayo de 2023 3:14
Brando Corradini,"Branding, Graphic Design, Typography",Rome,Italy,https://www.instagram.com/brando.corradini/,https://brandocorradini.com/,30 de mayo de 2023 3:17
Morphoria,Graphic Design,Düsseldorf,Germany,https://www.instagram.com/morphoria_design/?hl=de,https://morphoria.com/,30 de mayo de 2023 3:20
Studio Gonzalo Hergueta,Graphic Design,New York,USA,https://www.instagram.com/gonhergueta/,https://gonzalohergueta.com/,30 de mayo de 2023 3:27
Warriors Studio,Graphic Design,Glasgow,Scotland,https://www.instagram.com/warriorsstudio/,https://warriorsstudio.com/,30 de mayo de 2023 9:06
Bogdan Ceauescu,Graphic Design,,Romania,https://www.instagram.com/bogdan.ceausescu/,https://b-ceausescu.tumblr.com/,30 de mayo de 2023 9:08
Kristina Bartošová,"Branding, Graphic Design, Typography",Graz,Austria,https://www.instagram.com/kristinabartosova/,https://kristinabartosova.com/,30 de mayo de 2023 9:10
Samu Coronado,"Branding, Graphic Design, Illustration, Typography",Madrid,Spain,https://www.instagram.com/sinconsamu/,https://samucoronado.com/,30 de mayo de 2023 9:12
Jozef Ondrik,"Graphic Design, Typography","Brno, Prague",Czech Republic,https://www.instagram.com/jozefondrik/,https://jozefondrik.tumblr.com/,30 de mayo de 2023 9:13
Attico36,Graphic Design,,Italy,https://www.instagram.com/attico36/,https://www.attico36.com/,30 de mayo de 2023 9:15
Yarza Twins,"Branding, Graphic Design, Illustration, Typography","London, Madrid, Paris","France, Spain, UK",https://www.instagram.com/yarza_twins/,https://yarzatwins.com/,30 de mayo de 2023 9:16
Parallel Practice,Graphic Design,Prague,Czech Republic,,https://parallelpractice.tumblr.com/,30 de mayo de 2023 9:17
Stefan Hürlemann,Graphic Design,Zurich,Austria,https://www.instagram.com/stefanhuerlemann/,https://stefanh.ch/,30 de mayo de 2023 9:21
Lamm & Kirch,Graphic Design,"Berlin, Leipzig",Germany,https://www.instagram.com/lammkirch/,http://lamm-kirch.com/,30 de mayo de 2023 9:22
Markwald Neusitzer Identity,Branding,"Düsseldorf, Frankfurt",Germany,https://www.instagram.com/mnidentity/,https://www.mnidentity.de/,30 de mayo de 2023 9:28
Belu Design,"Branding, Packaging",Hobart,Tasmania,https://www.instagram.com/belu.design/,https://belu.design/,30 de mayo de 2023 9:29
The Royal Studio,Graphic Design,"Berlin, Porto","Germany, Portugal",https://www.instagram.com/theroyal.studio/,https://theroyalstudio.com/,30 de mayo de 2023 9:31
Crystal Zapata,Graphic Design,Chicago,USA,https://www.instagram.com/crystalzapata/,https://crystalzapata.com/,30 de mayo de 2023 9:33
Badesaison,Graphic Design,Zurich,Austria,https://www.instagram.com/badesaison/,https://www.badesaison.ch/,30 de mayo de 2023 9:35
Barkas,Branding,"Copenhague, Stockholm","Denmark, Sweden",https://www.instagram.com/barkas/?hl=en,https://barkas.com/,30 de mayo de 2023 9:37
Principal,Branding,Montreal,Canada,https://www.instagram.com/principal.studio/,https://www.principal.studio/,30 de mayo de 2023 9:39
Ondřej Báchor,"Graphic Design, Typography",Berlin,Germany,https://www.instagram.com/ondrejbachor/,http://ondrejbachor.com/,10 de junio de 2023 10:40
Keller Maurer Design,"Branding, Graphic Design, Interactive, Packaging",Munich,Germany,https://www.instagram.com/kellermaurerdesign/,https://www.km-d.com/,30 de mayo de 2023 19:39
Lane & Associates,"Branding, Graphic Design, Interactive, Packaging",London,UK,https://www.instagram.com/lane_and_associates/,https://www.laneandassociates.co/,30 de mayo de 2023 11:08
Actual Source,Graphic Design,Provo,USA,https://www.instagram.com/actualsource.work/,https://actualsource.work/,30 de mayo de 2023 11:10
Corbin Mahleu,"Branding, Graphic Design",Ghent,Belgium,https://www.instagram.com/corbinmahieu/,https://corbinmahieu.be/,30 de mayo de 2023 11:14
OFFSHORE,Graphic Design,Zurich,Switzerland,https://www.instagram.com/offshore________/,https://www.offshorestudio.ch/,30 de mayo de 2023 11:15
République Studio,Graphic Design,Paris,France,https://www.instagram.com/republique.studio/,http://www.republique.studio/,30 de mayo de 2023 11:17
Studio Najbrt,Graphic Design,Prague,Czech Republic,https://www.instagram.com/studionajbrt/,https://www.najbrt.cz/,30 de mayo de 2023 14:43
Studio Paul Bergman,Branding,Randstad,The Netherlands,https://www.instagram.com/studio_paul/,https://www.paulbergman.nl/,2 de junio de 2023 18:53
Semiotik Design Agency SDA,"Branding, Graphic Design, Interactive",Thessaloniki,Greece,https://www.instagram.com/semiotik_design/,https://www.semiotikdesign.com/,7 de junio de 2023 20:59
Axel Pelletanche,"Branding, Graphic Design",Paris,France,https://www.instagram.com/axelpelletanche/,http://axelpelletanche.com/,30 de mayo de 2023 15:05
Figure,"Branding, Graphic Design",Québec,Canada,https://www.instagram.com/figure_design_studio/,https://www.figure-studio.com/,30 de mayo de 2023 15:08
Nica Nel,Graphic Design,Utrecht,The Netherlands,https://www.instagram.com/nica.nel/,https://nicanel.tumblr.com/,2 de junio de 2023 18:53
Tobias Hönow,"Graphic Design, Typography",Stuttgart,Germany,https://www.instagram.com/tobiashoenow/,https://tobiashoenow.de/,30 de mayo de 2023 15:12
Balmer Hählen,Graphic Design,Lausanne,Switzerland,https://www.instagram.com/balmerhahlen/,https://www.balmerhahlen.ch/,30 de mayo de 2023 15:13
"pfp, disseny","Branding, Graphic Design",Barcelona,Spain,https://www.instagram.com/pfp_disseny/,https://www.pfpdisseny.com/,30 de mayo de 2023 15:15
Jiri Mocek,Graphic Design,Prague,Czech Republic,https://www.instagram.com/j.mocek/,https://jmocek.tumblr.com/,30 de mayo de 2023 15:16
Forner,"Branding, Packaging",Los Angeles,USA,https://www.instagram.com/forner.studio/,https://forner.studio/,30 de mayo de 2023 15:17
Larssen & Amaral,Branding,Haugesund,Norway,https://www.instagram.com/larssenamaral/,https://www.larssenamaral.no/,30 de mayo de 2023 15:20
SPGD,Branding,Melbourne,Australia,https://www.instagram.com/studiospgd/,https://www.sp-gd.com/,30 de mayo de 2023 15:22
Studio Nari,"Branding, Graphic Design",London,UK,https://www.instagram.com/studionari/?hl=en,https://www.studionari.co.uk/,30 de mayo de 2023 15:28
Motherbird,Branding,Melbourne,Australia,https://www.instagram.com/motherbirdstudio/,https://www.motherbird.com.au/,30 de mayo de 2023 15:31
Claudiabasel,Graphic Design,Basel,Switzerland,https://www.instagram.com/jiri_oplatek/,https://claudiabasel.ch/,30 de mayo de 2023 15:33
Laucke Siebein,Graphic Design,"Amsterdam, Offenbach am Main","Germany, The Netherlands",https://www.instagram.com/studiolauckesiebein/,https://studio-laucke-siebein.com/,2 de junio de 2023 18:53
Mother Design,Branding,"London, New York","UK, USA",https://www.instagram.com/motherdesign/,https://www.motherdesign.com/,30 de mayo de 2023 15:37
Vrints-Kolsteren,"Branding, Packaging",Antwerp,Belgium,https://www.instagram.com/vrintskolsteren/,http://www.vrints-kolsteren.com/,30 de mayo de 2023 15:38
BGN,"Branding, Graphic Design",Manchester,UK,https://www.instagram.com/bgnmcr/,https://bgn.agency/,30 de mayo de 2023 15:40
Alex Hunting Studio,"Branding, Graphic Design",London,UK,https://www.instagram.com/alexhunting1/,https://alexhunting.co.uk/,30 de mayo de 2023 15:42
